Lp;Usluga;Cena;czy etapowe;ilosc etapow;minOdstep;czas trwania
1;Fluoryzacja;80;Nie;1;0;45
2;Lakowanie zebow;50;Nie;1;0;45
3;Leczenie kanalowe I etap;60;Tak;3;10;30
3;Leczenie kanalowe II etap;80;Tak;;14;90
3;Leczenie kanalowe III etap;120;Tak;;0;45
5;Odbudowa zeba;200;Tak;2;30;30
5;Odbudowa zeba II;;;;0;60
6;Opatrunek leczniczy;30;Tak;2;7;35
6;Opatrunek leczniczy II;40;;;0;50
7;Piaskowanie zebow;50;Nie;1;0;60
8;Przeglad stomatologiczny;50;Nie;1;0;25
9;Chirurgiczne usuwanie zeba;300;Nie;1;0;120
